iter	MAE
196	21911.08111
197	21852.36559
198	21793.73789
199	21750.46252
200	21689.21177
201	21632.61495
202	21556.3648
203	21502.6482
204	21442.63077
205	21394.54505
206	21335.16672
207	21276.92613
208	21225.25079
209	21166.95798
210	21116.7546
211	21062.96079
212	21002.81684
213	20945.04667
214	20885.13579
215	20838.10413
216	20798.78772
217	20733.01809
218	20679.95276
219	20639.88191
220	20584.7155
221	20543.44129
222	20496.16959
223	20437.21004
224	20387.40204
225	20320.61275
226	20272.96574
227	20219.11698
228	20181.01697
229	20132.48571
230	20074.9012
231	20016.37164
232	19976.45734
233	19944.00999
234	19900.14041
235	19838.49992
236	19794.39968
237	19758.98936
238	19724.39911
239	19683.91331
240	19631.04435
241	19572.05236
242	19534.71865
243	19499.44299
244	19454.14246
245	19406.82493
246	19362.94674
247	19317.09302
248	19280.94079
249	19229.13616
250	19191.5102
251	19136.56719
252	19093.17894
253	19044.25621
254	18997.79233
255	18968.79372
256	18932.63878
257	18891.6921
258	18847.89644
259	18818.9762
260	18791.04408
261	18743.70053
262	18718.01217
263	18681.57852
264	18651.17134
265	18614.18468
266	18576.11963
267	18536.84176
268	18496.31799
269	18459.2017
270	18432.66672
271	18402.25546
272	18369.01148
273	18327.28343
274	18287.38698
275	18253.32586
276	18227.31836
277	18194.8985
278	18144.6385
279	18116.05084
280	18074.73915
281	18029.9399
282	18000.96821
283	17968.24172
284	17926.06725
285	17889.82144
286	17858.67031
287	17822.32059
288	17787.73556
289	17762.21075
290	17729.25282
291	17696.47334
292	17677.80665
293	17655.69367
294	17630.28482
295	17596.62937
296	17561.03297
297	17533.7154
298	17504.32044
299	17464.52022
300	17429.8688
301	17396.24421
302	17376.70837
303	17346.929
304	17323.93636
305	17302.69943
306	17272.308
307	17236.57173
308	17212.32251
309	17181.76195
310	17149.12765
311	17130.30371
312	17107.37824
313	17086.0905
314	17058.94098
315	17036.233
316	17003.87412
317	16970.42116
318	16937.40322
319	16911.20947
320	16880.99046
321	16858.91723
322	16844.21957
323	16817.92516
324	16793.4404
325	16774.20423
326	16758.55585
327	16732.52605
328	16711.10125
329	16684.52518
330	16665.84413
331	16638.03058
332	16608.11227
333	16581.6632
334	16551.09262
335	16530.45555
336	16514.35454
337	16489.54004
338	16469.24474
339	16453.87883
340	16432.07453
341	16402.62654
342	16378.35873
343	16352.01781
344	16328.79214
345	16310.56789
346	16286.34139
347	16259.78014
348	16228.17914
349	16205.09046
350	16186.72027
351	16165.6644
352	16140.81878
353	16113.09626
354	16094.04254
355	16069.68977
356	16056.06624
357	16029.98545
358	16008.2183
359	15987.24404
360	15967.31008
361	15946.24047
362	15922.96882
363	15908.67167
364	15900.48336
365	15879.24739
366	15848.54803
367	15825.43604
368	15797.2131
369	15776.27764
370	15747.60239
371	15728.8145
372	15710.07605
373	15688.04976
374	15661.4801
375	15650.24845
376	15636.02379
377	15620.21551
378	15600.50684
379	15580.48566
380	15566.6929
381	15551.86502
382	15525.62555
383	15504.30093
384	15485.54656
385	15469.19913
386	15449.90308
387	15429.01439
388	15410.56313
389	15394.83914
390	15379.37362
391	15355.73686
392	15334.94679
393	15310.53311
394	15289.42208
395	15271.37732
396	15254.94953
397	15237.74332
398	15217.14103
399	15191.68418
400	15178.70424
401	15162.182
402	15148.49841
403	15119.75051
404	15104.49522
405	15085.16299
406	15071.73771
407	15056.72994
408	15042.92635
409	15029.11417
410	15012.58095
411	14991.69885
412	14972.8665
413	14957.13934
414	14946.10082
415	14932.30631
416	14916.24948
417	14903.34805
418	14881.11104
419	14865.50966
420	14851.73668
421	14834.02376
422	14816.07473
423	14804.22858
424	14790.053
425	14778.00726
426	14759.1854
427	14728.69933
428	14712.05454
429	14694.42004
430	14682.21549
431	14658.2506
432	14643.62668
433	14627.76324
434	14617.71321
435	14606.34643
436	14594.2563
437	14578.31964
438	14557.20395
439	14548.31165
440	14528.95544
441	14520.96536
442	14501.29053
443	14491.88866
444	14482.68959
445	14465.30127
446	14442.68067
447	14420.03692
448	14397.87755
449	14375.38316
450	14358.5352
451	14343.78297
452	14337.34618
453	14326.73705
454	14311.35153
455	14295.56996
456	14282.51333
457	14270.36919
458	14256.28513
459	14238.97545
460	14226.17642
461	14213.97226
462	14193.43453
463	14183.24165
464	14168.48886
465	14155.56585
466	14145.94605
467	14137.26577
468	14125.76789
469	14118.02564
470	14099.21266
471	14089.80566
472	14076.93182
473	14058.86646
474	14042.10803
475	14024.34439
476	14014.31438
477	13992.98427
478	13977.30076
479	13961.34021
480	13951.30292
481	13935.74792
482	13923.48
483	13912.44872
484	13902.79177
485	13891.64574
486	13875.95801
